id,name,description,brand,link,sizeVariants,color,hexColor,coverage,images,type
23,Alpina Farbrezepte - Wasserfall,Es ist eine grüne Wandfrabe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-farbrezepte-wasserfall-matt-2-5-literiter/p/7934748,"[{""size"":2.5,""price"":29.99}]",[6],#B5D9BF,100,"[""https://images.obi.de/product/DE/415x415/793474_1.jpg""]",wall paint
24,Alpina Feine Farben No. 10 - Hüterin der Freiheit,Es ist eine grüne Wandfrabe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-feine-farben-no-10-hueterin-der-freiheit-edelmatt-2-5-liter/p/5905641,"[{""size"":2.5,""price"":39.99}]",[6],#AEC1AD,100,"[""https://images.obi.de/product/DE/415x415/590564_1.jpg""]",wall paint
25,Schöner Wohnen Designfarben - Elegantes Puderrosa,Es ist eine rosa Wandfrabe.,Schöner Wohnen,https://www.obi.de/bunte-wandfarben/schoener-wohnen-designfarben-elegantes-puderrosa-matt-2-5-l/p/7555675,"[{""size"":2.5,""price"":34.99}]",[10],#BCADB0,83.33,"[""https://images.obi.de/product/DE/415x415/755567_1.jpg""]",wall paint
26,Alpina Farbrezepte - Fliederfest,Es ist eine lila Wandfrabe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-farbrezepte-fliederfest-matt-2-5-liter/p/8111007,"[{""size"":1,""price"":15.99},{""size"":2.5,""price"":29.99}]",[11],#C9B4D1,100,"[""https://images.obi.de/product/DE/415x415/811100_1.jpg""]",wall paint
27,Schöner Wohnen Designfarben - Freundliches Goldgelb,Es ist eine gelbe Wandfarbe.,Schöner Wohnen,https://www.obi.de/bunte-wandfarben/schoener-wohnen-designfarben-freundliches-goldgelb-matt-2-5-l/p/7555576,"[{""size"":2.5,""price"":34.99}]","[4,8]",#FFE89C,83.33,"[""https://images.obi.de/product/DE/415x415/755557_1.jpg""]",wall paint
28,Schöner Wohnen Trendfarbe - Maui,Es ist eine graue Wandfarbe.,Schöner Wohnen,https://www.obi.de/bunte-wandfarben/schoener-wohnen-trendfarbe-maui-matt-2-5-l/p/8448797,"[{""size"":2.5,""price"":28.49}]","[3,6,15]",#9DB1B0,100,"[""https://images.obi.de/product/AT/415x415/845938_1.jpg""]",wall paint
29,OBI Design Color -  Sky,Es ist eine blaue Wandfarbe.,Obi,https://www.obi.de/bunte-wandfarben/obi-design-color-matt-sky-2-5-l/p/9465527,"[{""size"":1,""price"":11.99},{""size"":2.5,""price"":22.99}]",[5],#7DE0FD,100,"[""https://images.obi.de/product/DE/415x415/946552_1.jpg""]",wall paint
30,OBI Design Color - Vintagerose,Es ist eine rosa Wandfrabe.,Obi,https://www.obi.de/bunte-wandfarben/obi-design-color-matt-vintagerose-2-5l/p/9465576,"[{""size"":1,""price"":11.99},{""size"":2.5,""price"":22.99}]",[10],#FABAEC,100,"[""https://images.obi.de/product/DE/415x415/946557_1.jpg""]",wall paint
31,Alpina Farbrezepte - Happy Weekend,Es ist eine orange Wandfrabe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-farbrezepte-happy-weekend-matt-2-5-liter/p/3801040,"[{""size"":2.5,""price"":29.99}]","[4,8]",#F3C66B,100,"[""https://images.obi.de/product/DE/415x415/380104_1.jpg""]",wall paint
32,Schöner Wohnen Designfarben - Warmes Erdbraun,Es ist eine braune Wandfrabe.,Schöner Wohnen,https://www.obi.de/bunte-wandfarben/schoener-wohnen-designfarben-warmes-erdbraun-matt-2-5-l/p/7556012,"[{""size"":2.5,""price"":34.99}]","[9,12]",#A8947B,83.33,"[""https://images.obi.de/product/DE/415x415/755601_1.jpg""]",wall paint
33,Alpina Feine Farben No. 19 - Melodie der Anmut ,Es ist eine rosa Wandfrabe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-feine-farben-no-19-melodie-der-anmut-edelmatt-2-5-liter/p/5905765,"[{""size"":2.5,""price"":39.99}]",[10],#AF9191,100,"[""https://images.obi.de/product/DE/415x415/590576_1.jpg""]",wall paint
34,Alpina Farbrezepte - Weiter Horizont,Es ist eine blaue Wandfarbe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-farbrezepte-weiter-horizont-matt-2-5-liter/p/3800562,"[{""size"":1,""price"":15.99},{""size"":2.5,""price"":29.99}]",[5],#6C93BA,100,"[""https://images.obi.de/product/DE/415x415/380056_1.jpg""]",wall paint
35,Schöner Wohnen Trendfarbe - Honey,Es ist eine orange Wandfrabe.,Schöner Wohnen,https://www.obi.de/bunte-wandfarben/schoener-wohnen-trendfarbe-honey-matt-2-5-l/p/8523920,"[{""size"":0.05,""price"":2.49},{""size"":1,""price"":14.99},{""size"":2.5,""price"":28.49}]","[4,8]",#FFA922,100,"[""https://images.obi.de/product/SK/415x415/487760_1.jpg""]",wall paint
36,Alpina Farbrezepte - Party Pink,Es ist eine pinke Wandfrabe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-farbrezepte-party-pink-matt-1-liter/p/3798048,"[{""size"":1,""price"":15.99},{""size"":2.5,""price"":29.99}]","[10,14]",#BF85AB,100,"[""https://images.obi.de/product/DE/415x415/379804_1.jpg""]",wall paint
37,Alpina Farbrezepte - Hula Hoop,Es ist eine rosa Wandfrabe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-farbrezepte-hula-hoop-matt-2-5-literiter/p/7934771,"[{""size"":2.5,""price"":29.99}]","[7,10]",#E17E78,100,"[""https://images.obi.de/product/AT/415x415/906704_1.jpg""]",wall paint
38,Alpina Farbrezepte - Petrol de Luxe,Es ist eine blaue Wandfarbe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-farbrezepte-petrol-de-luxe-matt-1-liter/p/3801065,"[{""size"":1,""price"":15.99},{""size"":2.5,""price"":29.99}]","[5,6,15]",#5C8589,100,"[""https://images.obi.de/product/DE/415x415/380106_1.jpg""]",wall paint
39,Alpina Feine Farben No. 13 - Stolzer Wellenreiter,Es ist eine blaue Wandfarbe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-feine-farben-no-13-stolzer-wellenreiter-edelmatt-2-5-liter/p/5905682,"[{""size"":2.5,""price"":39.99}]","[5,13,15]",#4C7B97,100,"[""https://images.obi.de/product/DE/415x415/590568_1.jpg""]",wall paint
40,Alpina Farbrezepte - Wildes Paradies,Es ist eine grüne Wandfrabe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-farbrezepte-wildes-paradies-matt-1-liter/p/7934730,"[{""size"":2.5,""price"":29.99}]",[6],#3A9164,100,"[""https://images.obi.de/product/AT/415x415/906700_1.jpg""]",wall paint
41,Schöner Wohnen Designfarben - Englisches Rosenrot,Es ist eine rote Wandfrabe.,Schöner Wohnen,https://www.obi.de/bunte-wandfarben/schoener-wohnen-designfarben-englisches-rosenrot-matt-2-5-l/p/7555618,"[{""size"":2.5,""price"":34.99}]","[7,10]",#AE6869,83.33,"[""https://images.obi.de/product/DE/415x415/755561_1.jpg""]",wall paint
42,Alpina Farbrezepte - Roter Ahorn ,Es ist eine rote Wandfrabe.,Obi,https://www.obi.de/bunte-wandfarben/alpina-farbrezepte-roter-ahorn-matt-2-5-literiter/p/7934789,"[{""size"":2.5,""price"":29.99}]",[7],#CA5D58,100,"[""https://images.obi.de/product/AT/415x415/906709_1.jpg""]",wall paint
43,Schöner Wohnen Trendfarbe - Terracotta,Es ist eine braune Wandfrabe.,Schöner Wohnen,https://www.obi.de/bunte-wandfarben/schoener-wohnen-trendfarbe-terracotta-matt-2-5-l/p/8448763,"[{""size"":0.05,""price"":2.49},{""size"":1,""price"":14.99},{""size"":2.5,""price"":28.49}]",[9],#B55944,100,"[""https://images.obi.de/product/DE/415x415/844876_1.jpg""]",wall paint
44,Schöner Wohnen Designfarben - Besinnliches Waldgrün,Es ist eine grüne Wandfrabe.,Schöner Wohnen,https://www.obi.de/bunte-wandfarben/schoener-wohnen-designfarben-besinnliches-waldgruen-matt-2-5-l/p/7555717,"[{""size"":2.5,""price"":34.99}]","[6,15]",#4F6862,83.33,"[""https://images.obi.de/product/DE/415x415/755571_1.jpg""]",wall paint
45,OBI Design Color - Graphit,Es ist eine graue Wandfarbe.,Obi,https://www.obi.de/bunte-wandfarben/obi-design-color-matt-graphit-1-l/p/9465774,"[{""size"":1,""price"":11.99},{""size"":2.5,""price"":22.99}]",[3],#4D5F61,100,"[""https://images.obi.de/product/DE/415x415/946577_1.jpg""]",wall paint
46,OBI Design Color - Eukalyptus,Es ist eine grüne Wandfrabe.,Obi,https://www.obi.de/bunte-wandfarben/obi-design-color-matt-eukalyptus-2-5-l/p/9465667,"[{""size"":1,""price"":11.99},{""size"":2.5,""price"":22.99}]","[6,15]",#4D5F61,100,"[""https://images.obi.de/product/DE/415x415/946566_1.jpg""]",wall paint
47,Schöner Wohnen Trendfarbe - Lagune,Es ist eine türkise Wandfrabe.,Schöner Wohnen,https://www.obi.de/bunte-wandfarben/schoener-wohnen-trendfarbe-lagune-matt-1-l/p/5645015,"[{""size"":0.05,""price"":2.49},{""size"":1,""price"":14.99},{""size"":2.5,""price"":28.49},{""size"":7.5,""price"":64.99}]","[5,6,15]",#006B7B,100,"[""https://images.obi.de/product/CZ/415x415/487749_1.jpg""]",wall paint
48,Alpina Feine Farben No. 17 - Farbe der Könige,Es ist eine lila Wandfrabe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-feine-farben-no-17-farbe-der-koenige-edelmatt-2-5-liter/p/5905732,"[{""size"":2.5,""price"":39.99}]",[11],#714D59,100,"[""https://images.obi.de/product/DE/415x415/590573_1.jpgg""]",wall paint
49,Alpina Farbrezepte - Tiefer Traum,Es ist eine lila Wandfrabe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-farbrezepte-tiefer-traum-matt-1-liter/p/3801305,"[{""size"":1,""price"":15.99},{""size"":2.5,""price"":29.99}]",[11],#714D59,100,"[""https://images.obi.de/product/DE/415x415/380130_1.jpg""]",wall paint
50,Schöner Wohnen Trendfarbe - Orchidee,Es ist eine pinke Wandfrabe.,Schöner Wohnen,https://www.obi.de/bunte-wandfarben/schoener-wohnen-trendfarbe-orchidee-matt-1-l/p/5645023,"[{""size"":0.05,""price"":2.49},{""size"":1,""price"":14.99},{""size"":2.5,""price"":28.49},{""size"":7.5,""price"":64.99}]",[14],#BE2C50,100,"[""https://images.obi.de/product/HU/415x415/342019_1.jpg""]",wall paint
51,Alpina Farbrezepte - Sinfonie,Es ist eine lila Wandfrabe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-farbrezepte-sinfonie-matt-1-liter/p/8110769,"[{""size"":1,""price"":15.99},{""size"":2.5,""price"":29.99}]",[11],#BE2C50,100,"[""https://images.obi.de/product/DE/415x415/811076_5.jpg""]",wall paint
52,OBI Design Color - Cappuccino,Es ist eine braune Wandfrabe.,Obi,https://www.obi.de/bunte-wandfarben/obi-design-color-matt-cappuccino-2-5-l/p/9465592,"[{""size"":1,""price"":11.99},{""size"":2.5,""price"":22.99}]",[9],#685149,100,"[""https://images.obi.de/product/DE/415x415/946559_1.jpg""]",wall paint
53,Schöner Wohnen Designfarben - Unendliches Tiefseeblau,Es ist eine marineblaue Wandfrabe.,Schöner Wohnen,https://www.obi.de/bunte-wandfarben/schoener-wohnen-designfarben-unendliches-tiefseeblau-matt-2-5-l/p/7555691,"[{""size"":2.5,""price"":34.99}]","[5,13]",#424E66,83.33,"[""https://images.obi.de/product/DE/415x415/755569_1.jpg""]",wall paint
54,Alpina Feine Farben No. 21 - Tanz der Sehnsucht,Es ist eine rote Wandfrabe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-feine-farben-no-21-tanz-der-sehnsucht-edelmatt-2-5-liter/p/5905831,"[{""size"":2.5,""price"":39.99}]",[7],#A32C42,100,"[""https://images.obi.de/product/AT/415x415/587912_1.jpg""]",wall paint
55,Alpina Farbrezepte - Flammendes Herz,Es ist eine rote Wandfrabe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-farbrezepte-flammendes-herz-matt-2-5-liter/p/3801222,"[{""size"":2.5,""price"":29.99}]",[7],#8A384E,100,"[""https://images.obi.de/product/DE/415x415/380122_1.jpg""]",wall paint
56,Schöner Wohnen Trendfarbe - Amarena,Es ist eine rote Wandfrabe.,Schöner Wohnen,https://www.obi.de/bunte-wandfarben/schoener-wohnen-trendfarbe-amarena-matt-1-l/p/2080661,"[{""size"":0.05,""price"":2.49},{""size"":1,""price"":14.99},{""size"":2.5,""price"":28.49},{""size"":7.5,""price"":64.99}]",[7],#753F4F,100,"[""https://images.obi.de/product/DE/415x415/208066_1.jpg""]",wall paint
57,Alpina Farbrezepte - Blaue Stunde,Es ist eine marineblaue Wandfrabe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-farbrezepte-blaue-stunde-matt-1-liter/p/3797800,"[{""size"":1,""price"":15.99},{""size"":2.5,""price"":29.99}]","[5,13]",#7C333E,100,"[""https://images.obi.de/product/AT/415x415/959968_1.jpg""]",wall paint
58,OBI Design Color - Persischrot,Es ist eine rote Wandfrabe.,Obi,https://www.obi.de/bunte-wandfarben/obi-design-color-matt-persischrot-1-l/p/9465816,"[{""size"":1,""price"":11.99},{""size"":2.5,""price"":22.99}]","[7,11]",#880A49,100,"[""https://images.obi.de/product/DE/415x415/946581_1.jpg""]",wall paint
59,Schöner Wohnen Trendfarbe - New Black ,Es ist eine schwarze Wandfarbe.,Schöner Wohnen,https://www.obi.de/bunte-wandfarben/schoener-wohnen-trendfarbe-new-black-matt-2-5-l/p/7670730,"[{""size"":2.5,""price"":28.49}]",[2],#363739,100,"[""https://images.obi.de/product/DE/415x415/767073_1.jpg""]",wall paint
